,anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
22,4722,Skip Beat!,Skip Beat!,スキップ・ビート！,,https://myanimelist.cdn-dena.com/images/anime/11/84022.jpg,TV,Manga,25,Finished Airing,False,"Oct 6, 2008 to Mar 30, 2009","{'from': '2008-10-06', 'to': '2009-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.24,90699,282.0,488,164738,4668,"Crunchyroll officially streamed the anime with English subtitles.Aside from the manga and anime there are a series of novels written by Ayuna Fujisaki. There is also a Taiwanese drama named ""Hua Li De Tiao Zhan"" (Extravagant Challenge) inspired by the series, and a total of three drama CDs that cover different parts of the story. ",Fall 2008,Mondays at 02:00 (JST),"{'Adaptation': [{'mal_id': 610, 'type': 'manga', 'url': 'https://myanimelist.net/manga/610/Skip_Beat', 'title': 'Skip Beat!'}]}","Sotsu, Pony Canyon, Hakusensha, TV Tokyo Music",Pied Piper,Hal Film Maker,"Comedy, Drama, Romance, Shoujo","['#1: ""Dream Star"" by the generous (ep 1-19)', '#2: ""Renaissance"" by the generous (ep 20-25)']","['#1: ""Namida (ナミダ)"" by 2BACKKA (ep 1-19)', '#2: ""Eien （永遠）"" by Yuusaku Kiyama (ep 20-24)', '#3: ""Dream Star"" by the generous (ep. 25)']"
25,10800,Chihayafuru,Chihayafuru,ちはやふる,Chihayafull,https://myanimelist.cdn-dena.com/images/anime/3/35749.jpg,TV,Manga,25,Finished Airing,False,"Oct 5, 2011 to Mar 28, 2012","{'from': '2011-10-05', 'to': '2012-03-28'}",22 min. per ep.,PG-13 - Teens 13 or older,8.29,89081,246.0,348,213902,4524,"Chihayafuru is the anime adaptation of the manga with the same name written and illustrated by Yuki Suetsugu and serialised in the magazine Be Love. Animax Asia released the anime with English subtitles in 2013. The anime will get two live action film adaptations, both scheduled to be released in 2016. The manga won the second Manga Taishou award, and the 35th Kodansha Manga Award in the shoujo category. Chihayafuru has become so popular that it boosted interest in competitive karuta. The manga has sold over 4.5 million copies and has been praised for combining elements of sports and literature. ",Fall 2011,Wednesdays at Unknown,"{'Adaptation': [{'mal_id': 13245, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13245/Chihayafuru', 'title': 'Chihayafuru'}], 'Sequel': [{'mal_id': 14397, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14397/Chihayafuru_2', 'title': 'Chihayafuru 2'}]}","VAP, Nippon Television Network",Sentai Filmworks,Madhouse,"Drama, Game, Josei, School, Slice of Life, Sports","['""YOUTHFUL"" by 99RadioService']","['#1: ""Soshite Ima (そしていま)"" by Asami Seto (eps 1-24)', '#2: ""YOUTHFUL ~from Studio Yamato~"" by 99RadioService (ep 25)']"
27,9513,Beelzebub,Beelzebub,べるぜバブ,,https://myanimelist.cdn-dena.com/images/anime/3/28013.jpg,TV,Manga,60,Finished Airing,False,"Jan 9, 2011 to Mar 25, 2012","{'from': '2011-01-09', 'to': '2012-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,8.02,136105,528.0,208,302082,3785,,Winter 2011,Sundays at Unknown,"{'Adaptation': [{'mal_id': 10010, 'type': 'manga', 'url': 'https://myanimelist.net/manga/10010/Beelzebub', 'title': 'Beelzebub'}], 'Alternative version': [{'mal_id': 9120, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9120/Beelzebub__Hirotta_Akachan_wa_Daimaou', 'title': 'Beelzebub: Hirotta Akachan wa Daimaou!?'}], 'Other': [{'mal_id': 10479, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10479/Beelzebub_Specials', 'title': 'Beelzebub Specials'}]}","Studio Pierrot, Dentsu, Yomiuri Telecasting, Shueisha",Discotek Media,Pierrot Plus,"Action, Comedy, Demons, Supernatural, School, Shounen","['#1: ""Dadada"" by GROUP Tamashii (eps 1-10)', '#2: ""Hajimaru no wa, Sayonara"" by ON/OFF (eps 11-23)', '#3: ""Hey!!!"" by FLOW (eps 24-35)', '#4: ""Baby U!"" by MBLAQ (eps 36-48)', '#5: ""Only you- Kimi tono Kizuna -"" by Lc5 (eps 49-60)']","['#1: ""Answer"" by NO3B (eps 1-10)', '#2: ""Tsuyogari"" by Shoko Nakagawa (eps 11-23)', '#3: ""Nanairo Namida"" by Tomato n&#039; Pine (eps 24-35)', '#4: ""Papepipu♪ Papipepu♪ Papepipupo♪"" by Sasaki Nozomi (eps 36-48)', '#5: ""Shojo Traveler"" by 9nine (eps 49-59)', '#6: ""Dadada"" by GROUP Tamashii (ep 60)']"
29,9863,SKET Dance,SKET Dance,スケットダンス,,https://myanimelist.cdn-dena.com/images/anime/9/73974.jpg,TV,Manga,77,Finished Airing,False,"Apr 7, 2011 to Sep 27, 2012","{'from': '2011-04-07', 'to': '2012-09-27'}",24 min. per ep.,PG-13 - Teens 13 or older,8.33,44132,213.0,646,130264,2474,,Spring 2011,Thursdays at 18:00 (JST),"{'Adaptation': [{'mal_id': 1414, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1414/SKET_Dance', 'title': 'SKET Dance'}], 'Character': [{'mal_id': 9969, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9969/Gintama', 'title': 'Gintama&#039;'}], 'Summary': [{'mal_id': 10775, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10775/SKET_Dance__Tettei_Bunseki_Special', 'title': 'SKET Dance: Tettei Bunseki Special'}], 'Side story': [{'mal_id': 16395, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16395/SKET_Dance_OVA', 'title': 'SKET Dance OVA'}], 'Other': [{'mal_id': 16718, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16718/SKET_Dance__SD_Character_Flash_Anime', 'title': 'SKET Dance: SD Character Flash Anime'}]}","TV Tokyo, Avex Entertainment, Dentsu",,Tatsunoko Production,"Comedy, School, Shounen","['#01: ""Kakko Warui I love you! (カッコ悪いI love you!)"" by French Kiss (eps 2-17)', '#02: ""Michi (道)"" by The Sketchbook (eps 18-26)', '#03: ""Graffiti"" by Gackt (eps 27-39)', '#04: ""Message"" by The Sketchbook (eps 40-46, 48-51)', '#05: ""Reboot"" by everset (eps 53-63)', '#06: ""Clear"" by The Sketchbook (eps 65-76)']","['#01: ""Kakko Warui I love you! (カッコ悪いI love you!)"" by French Kiss (ep 1, 51)', '#02: ""Comic Sonic"" by The Pillows (eps 2-16)', '#03: ""Funny Bunny (Rock Stock Version)"" by The Pillows (ep 17)', '#04: ""Clover (クローバー)"" by The Sketchbook (eps 18-24, 26)', '#05: ""Kioku (キヲク)"" by The Sketchbook (eps 25)', '#06: ""Milk to Chocolate (ミルクとチョコレート)"" by ChocoLe (eps 27-36, 38-39)', '#07: ""HERO"" by The Sketchbook (ep 37)', '#08: ""Party! Hallelujah! (パーリー!ハレルヤ!)"" by SKET ROCK (Yusuke Fujisaki [CV: Hiroyuki Yoshino], Sasuke Tsubaki [CV: Hiro Shimono], Kazuyoshi Usui [CV: Tomokazu Sugita], Soujirou Agata [CV: Tomokazu Seki]) (eps 40-46, 49-50)', '#09: ""Message"" by The Sketchbook (ep 47)', '#10: ""Birthday"" by The Sketchbook (ep 48)', '#11: ""Colors"" by The Sketchbook (ep 52-61, 63)', '#12: ""Sekai wa Okujou de Miwataseta (世界は屋上で見渡せた)"" by SKET x Sketch (eps 65-69, 71-72, 74-75)', '#13: ""Sekai wa Okujou de Miwataseta: Gasshou Ver. (世界は屋上で見渡せた ~合唱 Ver.~)"" by Kaimei Gakuen Seitokai Shikko-bu (開盟学園生徒会執行部) (ep 70)', '#14: ""Startup"" by The Sketchbook (ep 77)']"
33,957,Saiunkoku Monogatari,The Story of Saiunkoku,彩雲国物語,"The Tale of Saiun Country, Story of the Land of Many-Colored Clouds, Kokumono, Saimono, ColourCloud Palace",https://myanimelist.cdn-dena.com/images/anime/1/957.jpg,TV,Light novel,39,Finished Airing,False,"Apr 8, 2006 to Feb 24, 2007","{'from': '2006-04-08', 'to': '2007-02-24'}",25 min. per ep.,PG-13 - Teens 13 or older,8.04,23467,512.0,1313,61739,1059,,Spring 2006,Unknown,"{'Adaptation': [{'mal_id': 13495, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13495/Saiunkoku_Monogatari', 'title': 'Saiunkoku Monogatari'}], 'Sequel': [{'mal_id': 1914, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1914/Saiunkoku_Monogatari_2nd_Season', 'title': 'Saiunkoku Monogatari 2nd Season'}], 'Summary': [{'mal_id': 2193, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2193/Saiunkoku_Monogatari_Recaps', 'title': 'Saiunkoku Monogatari Recaps'}]}","NHK, Sogo Vision","Funimation, Geneon Entertainment USA",Madhouse,"Adventure, Fantasy, Comedy, Romance, Historical, Drama","['""Hajimari no Kaze"" by Ayaka Hirahara']","['""Saikou no Kataomoi"" by Sachi Tainaka']"
34,21,One Piece,One Piece,ONE PIECE,OP,https://myanimelist.cdn-dena.com/images/anime/6/73245.jpg,TV,Manga,0,Currently Airing,True,"Oct 20, 1999 to ?","{'from': '1999-10-20', 'to': None}",24 min.,PG-13 - Teens 13 or older,8.54,423868,91.0,35,720133,69760,"Several anime-original arcs have been adapted into light novels, and the series has inspired 40 video games as of 2016.",Fall 1999,Sundays at 09:30 (JST),"{'Adaptation': [{'mal_id': 13, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13/One_Piece', 'title': 'One Piece'}, {'mal_id': 94534, 'type': 'manga', 'url': 'https://myanimelist.net/manga/94534/One_Piece__Loguetown-hen', 'title': 'One Piece: Loguetown-hen'}], 'Side story': [{'mal_id': 459, 'type': 'anime', 'url': 'https://myanimelist.net/anime/459/One_Piece_Movie_1', 'title': 'One Piece Movie 1'}, {'mal_id': 460, 'type': 'anime', 'url': 'https://myanimelist.net/anime/460/One_Piece_Movie_2__Nejimaki-jima_no_Daibouken', 'title': 'One Piece Movie 2: Nejimaki-jima no Daibouken'}, {'mal_id': 461, 'type': 'anime', 'url': 'https://myanimelist.net/anime/461/One_Piece_Movie_3__Chinjuu-jima_no_Chopper_Oukoku', 'title': 'One Piece Movie 3: Chinjuu-jima no Chopper Oukoku'}, {'mal_id': 462, 'type': 'anime', 'url': 'https://myanimelist.net/anime/462/One_Piece_Movie_4__Dead_End_no_Bouken', 'title': 'One Piece Movie 4: Dead End no Bouken'}, {'mal_id': 463, 'type': 'anime', 'url': 'https://myanimelist.net/anime/463/One_Piece_Movie_5__Norowareta_Seiken', 'title': 'One Piece Movie 5: Norowareta Seiken'}, {'mal_id': 464, 'type': 'anime', 'url': 'https://myanimelist.net/anime/464/One_Piece_Movie_6__Omatsuri_Danshaku_to_Himitsu_no_Shima', 'title': 'One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima'}, {'mal_id': 465, 'type': 'anime', 'url': 'https://myanimelist.net/anime/465/One_Piece_Movie_7__Karakuri-jou_no_Mecha_Kyohei', 'title': 'One Piece Movie 7: Karakuri-jou no Mecha Kyohei'}, {'mal_id': 466, 'type': 'anime', 'url': 'https://myanimelist.net/anime/466/One_Piece__Taose_Kaizoku_Ganzack', 'title': 'One Piece: Taose! Kaizoku Ganzack'}, {'mal_id': 1094, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1094/One_Piece__Umi_no_Heso_no_Daibouken-hen', 'title': 'One Piece: Umi no Heso no Daibouken-hen'}, {'mal_id': 1237, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1237/One_Piece__Oounabara_ni_Hirake_Dekkai_Dekkai_Chichi_no_Yume', 'title': 'One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!'}, {'mal_id': 1238, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1238/One_Piece__Mamore_Saigo_no_Dai_Butai', 'title': 'One Piece: Mamore! Saigo no Dai Butai'}, {'mal_id': 2020, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2020/One_Piece__Nenmatsu_Tokubetsu_Kikaku_Mugiwara_no_Luffy_Oyabun_Torimonochou', 'title': 'One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou'}, {'mal_id': 2385, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2385/One_Piece__Jango_no_Dance_Carnival', 'title': 'One Piece: Jango no Dance Carnival'}, {'mal_id': 2386, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2386/One_Piece__Yume_no_Soccer_Ou', 'title': 'One Piece: Yume no Soccer Ou!'}, {'mal_id': 2490, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2490/One_Piece__Mezase_Kaizoku_Yakyuu_Ou', 'title': 'One Piece: Mezase! Kaizoku Yakyuu Ou'}, {'mal_id': 2680, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2680/One_Piece__Straw_Hat_Theater', 'title': 'One Piece: Straw Hat Theater'}, {'mal_id': 4155, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4155/One_Piece_Film__Strong_World', 'title': 'One Piece Film: Strong World'}, {'mal_id': 5252, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5252/One_Piece__Romance_Dawn_Story', 'title': 'One Piece: Romance Dawn Story'}, {'mal_id': 8740, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8740/One_Piece_Film__Strong_World_Episode_0', 'title': 'One Piece Film: Strong World Episode 0'}, {'mal_id': 9999, 'type': 'anime', 'url': 'https://myanimelist.net/anime/9999/One_Piece_3D__Mugiwara_Chase', 'title': 'One Piece 3D: Mugiwara Chase'}, {'mal_id': 12001, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12001/One_Piece_3D__Gekisou_Trap_Coaster', 'title': 'One Piece 3D: Gekisou! Trap Coaster'}, {'mal_id': 12859, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12859/One_Piece_Film__Z', 'title': 'One Piece Film: Z'}, {'mal_id': 16239, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16239/One_Piece__Episode_of_Luffy_-_Hand_Island_no_Bouken', 'title': 'One Piece: Episode of Luffy - Hand Island no Bouken'}, {'mal_id': 16287, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16287/One_Piece__Romance_Dawn', 'title': 'One Piece: Romance Dawn'}, {'mal_id': 16468, 'type': 'anime', 'url': 'https://myanimelist.net/anime/16468/One_Piece__Glorious_Island', 'title': 'One Piece: Glorious Island'}, {'mal_id': 25161, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25161/One_Piece_3D2Y__Ace_no_shi_wo_Koete_Luffy_Nakama_Tono_Chikai', 'title': 'One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai'}, {'mal_id': 31490, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31490/One_Piece_Film__Gold', 'title': 'One Piece Film: Gold'}, {'mal_id': 32051, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32051/One_Piece__Adventure_of_Nebulandia', 'title': 'One Piece: Adventure of Nebulandia'}], 'Character': [{'mal_id': 813, 'type': 'anime', 'url': 'https://myanimelist.net/anime/813/Dragon_Ball_Z', 'title': 'Dragon Ball Z'}, {'mal_id': 10033, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10033/Toriko', 'title': 'Toriko'}, {'mal_id': 23933, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23933/Kyutai_Panic_Adventure', 'title': 'Kyutai Panic Adventure!'}, {'mal_id': 23935, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23935/Kyutai_Panic_Adventure_Returns', 'title': 'Kyutai Panic Adventure Returns!'}], 'Summary': [{'mal_id': 2107, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2107/One_Piece_Movie_8__Episode_of_Alabasta_-_Sabaku_no_Oujo_to_Kaizoku-tachi', 'title': 'One Piece Movie 8: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi'}, {'mal_id': 8171, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8171/One_Piece_Recap', 'title': 'One Piece Recap'}, {'mal_id': 15323, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15323/One_Piece__Episode_of_Nami_-_Koukaishi_no_Namida_to_Nakama_no_Kizuna', 'title': 'One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna'}, {'mal_id': 19123, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19123/One_Piece__Episode_of_Merry_-_Mou_Hitori_no_Nakama_no_Monogatari', 'title': 'One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari'}, {'mal_id': 31289, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31289/One_Piece__Episode_of_Sabo_-_3_Kyoudai_no_Kizuna_Kiseki_no_Saikai_to_Uketsugareru_Ishi', 'title': 'One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi'}, {'mal_id': 32437, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32437/One_Piece__Long_Ring_Long_Land-hen', 'title': 'One Piece: Long Ring Long Land-hen'}, {'mal_id': 36215, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36215/One_Piece__Episode_of_East_Blue_-_Luffy_to_4-nin_no_Nakama_no_Daibouken', 'title': 'One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken'}], 'Alternative version': [{'mal_id': 3848, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3848/One_Piece_Movie_9__Episode_of_Chopper_Plus_-_Fuyu_ni_Saku_Kiseki_no_Sakura', 'title': 'One Piece Movie 9: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura'}], 'Other': [{'mal_id': 34165, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34165/Oishi-sa_Hajikeru_One_Piece', 'title': 'Oishi-sa Hajikeru! One Piece'}, {'mal_id': 36239, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36239/Sono_Me_ga_Mitsumeru_Mono', 'title': 'Sono Me ga Mitsumeru Mono'}]}","Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment",Toei Animation,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","['#01: ""We Are! (ウィーアー!)"" by Hiroshi Kitadani (eps 1-47)', '#02: ""Believe"" by Folder5 (eps 48-115)', '#03: ""Hikari E (ヒカリヘ)"" by The Babystars (eps 116-168)', '#04: ""Bon Voyage!"" by Bon-Bon Blanco (eps 169-206)', '#05: ""Kokoro no Chizu (ココロのちず)"" by BOYSTYLE (eps 207-263)', '#06: ""Brand New World"" by D-51 (eps 264-278)', '#07: ""We Are! (ウィーアー! 〜7人の麦わら海賊団篇〜)"" by the Straw Hat Pirates (eps 279-283)', '#08: ""Crazy Rainbow"" by Tackey & Tsubasa (eps 284-325)', '#09: ""Jungle P"" by 5050 (eps 326-372)', '#10: ""We Are (ウィーアー! 〜10周年Ver.〜)"" by TVXQ (eps 373-394)', '#11: ""Share the World"" by TVXQ (eps 395-425)', '#12: ""Kaze wo Sagashite (風をさがして)"" by Straw Hat Crew and Mari Yaguchi (eps 426-458)', '#13: ""One Day"" by The Rootless (eps 459-491)', '#14: ""Fight Together"" by Namie Amuro (eps 493-516)', '#15: ""We go! (ウィーゴー!)"" by Hiroshi Kitadani (eps 517-541, 543-589)', '#16: ""Hands Up!"" by Kouta Shinzato (eps 591-628)', '#17: ""Wake up!"" by AAA (eps 629-686)', '#18: ""Hard Knock Days"" by GENERATIONS from EXILE TRIBE (eps 687-746)', '#19: ""We can! (ウィーキャン!)"" by Kishidan and Hiroshi Kitadani (eps 747-806)', '#20 ""Hope"" by Namie Amuro (eps 807-)']","['#01: ""memories"" by Maki Otsuki (eps 1-30)', '#02: ""RUN! RUN! RUN!"" by Maki Otsuki (eps 31-63)', '#03: ""Watashi ga iru Yo (私がいるよ)"" by TOMATO CUBE (eps 64-73)', '#04: ""Souchinosuke (しょうちのすけ)"" by Suitei-Shoujo (eps 74-81)', '#05: ""BEFORE DAWN"" by AI-SACHI (eps 82-94)', '#06: ""fish"" by The Kaleidoscope (eps 95-106)', '#07: ""GLORY -Kimi ga iru Kara- (GLORY-君がいるから-)"" by Takako Uehara (eps 107-118)', '#08: ""Shining ray"" by Janne da Arc (eps 119-127, 129-132)', '#09: ""Family"" by the Straw Hat Pirates (ep 128)', '#10: ""Free Will"" by Ruppina (eps 133-156)', '#11: ""FAITH"" by Ruppina (eps 157-168)', '#12: ""A to Z ~One Piece Edition~ (A to Z〜ONE PIECE Edition〜)"" by ZZ (eps 169-181)', '#13: ""Tsuki to Taiyou (月と太陽)"" by shela (eps 182-195)', '#14: ""DREAMSHIP"" by Aiko Ikuta (eps 196-206)', '#15: ""Mirai Koukai (未来航海)"" by Tackey & Tsubasa (eps 207-230)', '#16: ""Eternal Pose (エターナルポーズ)"" by Asia Engineer (eps 231-245)', '#17: ""Dear friends"" by TRIPLANE (eps 246-255)', '#18: ""Asu wa Kurukara (明日は来るから)"" by Dong Bang Shin Gi (eps 256-263)', '#19: ""ADVENTURE WORLD"" by Delicatessen (eps 264-278)', '#20: ""One Day"" by The Rootless (ep 492)', '#21: ""We go! (ウィーゴー!)"" by Hiroshi Kitadani (eps 542, 590)']"
35,1974,Glass no Kamen (2005),Glass Mask,ガラスの仮面 (2005),,https://myanimelist.cdn-dena.com/images/anime/1/2043.jpg,TV,Manga,51,Finished Airing,False,"Apr 6, 2005 to Mar 29, 2006","{'from': '2005-04-06', 'to': '2006-03-29'}",25 min. per ep.,G - All Ages,8.18,7348,333.0,2523,22123,365,,Spring 2005,Unknown,"{'Adaptation': [{'mal_id': 1469, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1469/Glass_no_Kamen', 'title': 'Glass no Kamen'}], 'Alternative version': [{'mal_id': 506, 'type': 'anime', 'url': 'https://myanimelist.net/anime/506/Glass_no_Kamen', 'title': 'Glass no Kamen'}, {'mal_id': 3734, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3734/Glass_no_Kamen__Sen_no_Kamen_wo_Motsu_Shoujo', 'title': 'Glass no Kamen: Sen no Kamen wo Motsu Shoujo'}], 'Other': [{'mal_id': 17707, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17707/Glass_no_Kamen_Desu_ga', 'title': 'Glass no Kamen Desu ga'}, {'mal_id': 33975, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33975/3-Nen_D-Gumi_Glass_no_Kamen', 'title': '3-Nen D-Gumi Glass no Kamen'}, {'mal_id': 35070, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35070/3-Nen_D-Gumi_Glass_no_Kamen__Tobidase_Watashitachi_no_Victory_Road', 'title': '3-Nen D-Gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road'}]}","TMS Entertainment, MediaNet",Sentai Filmworks,Tokyo Movie Shinsha,"Drama, Shoujo","['#1: ""Promise"" by Candy (eps 1-26)', '#2: ""zero"" by Ikuta Aiko (eps 27-51)']","['#1: ""Yasashii Sayonara"" by Aina (eps 1-13)', '#2: ""Step One"" by Sister Q (eps 14-26)', '#3: ""Sunao ni Narenakute (I Couldn&#039;t Become True)"" by Splash Candy (eps 27-39)', '#4: ""Hello Hello ～another star～"" by CORE OF SOUL (eps 40-51)']"
37,1914,Saiunkoku Monogatari 2nd Season,Tales of Saiunkoku,彩雲国物語 第2シリーズ,"Saiunmono, Saimono, Saiunkoku Monogatari Dai 2 Series",https://myanimelist.cdn-dena.com/images/anime/5/73277.jpg,TV,Light novel,39,Finished Airing,False,"Apr 7, 2007 to Mar 8, 2008","{'from': '2007-04-07', 'to': '2008-03-08'}",25 min. per ep.,PG-13 - Teens 13 or older,8.16,11924,362.0,2233,27481,201,,Spring 2007,Unknown,"{'Adaptation': [{'mal_id': 13495, 'type': 'manga', 'url': 'https://myanimelist.net/manga/13495/Saiunkoku_Monogatari', 'title': 'Saiunkoku Monogatari'}], 'Prequel': [{'mal_id': 957, 'type': 'anime', 'url': 'https://myanimelist.net/anime/957/Saiunkoku_Monogatari', 'title': 'Saiunkoku Monogatari'}]}","NHK, Sogo Vision",,Madhouse,"Adventure, Comedy, Drama, Fantasy, Historical, Romance","['""Hajimari no Kaze"" by Ayaka Hirahara']","['""Asu he"" by Teruya Miho']"
43,7674,Bakuman.,Bakuman.,バクマン。,Bakuman Season 1,https://myanimelist.cdn-dena.com/images/anime/6/26138.jpg,TV,Manga,25,Finished Airing,False,"Oct 2, 2010 to Apr 2, 2011","{'from': '2010-10-02', 'to': '2011-04-02'}",24 min. per ep.,PG-13 - Teens 13 or older,8.32,167429,216.0,172,332666,6846,"Bakuman. was licensed by Media Blasters in North America, but only released  one 2-disc DVD containing the first 7 episodes, the rest of the releases were cancelled. ",Fall 2010,Unknown,"{'Adaptation': [{'mal_id': 9711, 'type': 'manga', 'url': 'https://myanimelist.net/manga/9711/Bakuman', 'title': 'Bakuman.'}], 'Sequel': [{'mal_id': 10030, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10030/Bakuman_2nd_Season', 'title': 'Bakuman. 2nd Season'}], 'Summary': [{'mal_id': 15711, 'type': 'anime', 'url': 'https://myanimelist.net/anime/15711/Bakuman__Deraman', 'title': 'Bakuman.: Deraman.'}]}","NHK, Shueisha","Media Blasters, NYAV Post",J.C.Staff,"Comedy, Drama, Romance, Shounen","['#1: ""Blue Bird"" by Kobukuro (eps 1-24)', '#2: ""Genjitsu to iu Na no Kaibutsu to Tatakau Mono Tachi (現実という名の怪物と戦う者たち)"" by Yuu Takahashi (高橋優) (ep 25)']","['#1: ""BAKUROCK ~Mirai no Rinkakusen~ (BAKUROCK 〜未来の輪郭線〜)"" by YA-KYIM (eps 1-13)', '#2: ""Genjitsu to iu Na no Kaibutsu to Tatakau Mono Tachi (現実という名の怪物と戦う者たち)"" by Yuu Takahashi (高橋優) (eps 14-24)', '#3: ""Blue Bird"" by Kobukuro (ep 25)']"
44,1698,Nodame Cantabile,Nodame Cantabile,のだめカンタービレ,,https://myanimelist.cdn-dena.com/images/anime/9/11986.jpg,TV,Manga,23,Finished Airing,False,"Jan 12, 2007 to Jun 15, 2007","{'from': '2007-01-12', 'to': '2007-06-15'}",22 min. per ep.,PG-13 - Teens 13 or older,8.41,87363,163.0,381,198927,4443,,Winter 2007,Fridays at Unknown,"{'Adaptation': [{'mal_id': 419, 'type': 'manga', 'url': 'https://myanimelist.net/manga/419/Nodame_Cantabile', 'title': 'Nodame Cantabile'}], 'Side story': [{'mal_id': 3965, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3965/Nodame_Cantabile_Special', 'title': 'Nodame Cantabile Special'}], 'Sequel': [{'mal_id': 4477, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4477/Nodame_Cantabile__Paris-hen', 'title': 'Nodame Cantabile: Paris-hen'}], 'Other': [{'mal_id': 5656, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5656/PuriGorota__Uchuu_no_Yuujou_Daibouken', 'title': 'PuriGorota: Uchuu no Yuujou Daibouken'}, {'mal_id': 29823, 'type': 'anime', 'url': 'https://myanimelist.net/anime/29823/Channel_55_3rd_Season', 'title': 'Channel 5.5 3rd Season'}]}","Dentsu, Genco, Kodansha, Fuji TV, Magic Capsule, Sony Music Entertainment, Fuji Pacific Music Publishing",,J.C.Staff,"Music, Slice of Life, Comedy, Drama, Romance, Josei","['""Allegro Cantabile Sound"" by SUEMITSU & THE SUEMITH']","['#1: ""Konna ni Chikaku de..."" by Crystal Kay (eps 01-12)', '#2: ""Sagittarius"" by SUEMITSU & THE NODAME ORCHESTRA (eps 13-23)']"
